date_of_death,new_deaths,cumulative_deaths,data_as_of,data_loaded_at
08/30/2020 12:00:00 AM,0,92,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
08/31/2020 12:00:00 AM,2,94,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/01/2020 12:00:00 AM,1,95,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/02/2020 12:00:00 AM,0,95,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/03/2020 12:00:00 AM,2,97,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/04/2020 12:00:00 AM,0,97,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/05/2020 12:00:00 AM,3,100,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/06/2020 12:00:00 AM,1,101,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/07/2020 12:00:00 AM,1,102,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/08/2020 12:00:00 AM,1,103,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/09/2020 12:00:00 AM,2,105,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/10/2020 12:00:00 AM,4,109,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/11/2020 12:00:00 AM,1,110,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/12/2020 12:00:00 AM,1,111,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/13/2020 12:00:00 AM,0,111,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/14/2020 12:00:00 AM,0,111,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/15/2020 12:00:00 AM,0,111,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/16/2020 12:00:00 AM,1,112,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/17/2020 12:00:00 AM,2,114,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/18/2020 12:00:00 AM,2,116,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/19/2020 12:00:00 AM,0,116,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/20/2020 12:00:00 AM,1,117,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/21/2020 12:00:00 AM,0,117,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/22/2020 12:00:00 AM,3,120,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/23/2020 12:00:00 AM,1,121,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/24/2020 12:00:00 AM,2,123,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/25/2020 12:00:00 AM,2,125,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/26/2020 12:00:00 AM,0,125,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/27/2020 12:00:00 AM,0,125,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/28/2020 12:00:00 AM,3,128,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/29/2020 12:00:00 AM,1,129,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
09/30/2020 12:00:00 AM,0,129,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/01/2020 12:00:00 AM,5,134,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/02/2020 12:00:00 AM,2,136,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/03/2020 12:00:00 AM,0,136,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/04/2020 12:00:00 AM,5,141,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/05/2020 12:00:00 AM,2,143,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/06/2020 12:00:00 AM,0,143,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/07/2020 12:00:00 AM,0,143,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
10/08/2020 12:00:00 AM,3,146,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
